dev_id,car_model
M1200607397,IONIQ5
M1200607402,IONIQ5
M1200607406,IONIQ5
M1200607407,IONIQ5
M1200607411,IONIQ5
M1200607412,IONIQ5
M1200607414,IONIQ5
M1200607415,IONIQ5
M1200607417,IONIQ5
M1200607418,IONIQ5
M1200607423,IONIQ5
M1200607425,IONIQ5
M1200607426,IONIQ5
M1200607431,IONIQ5
M1200607432,IONIQ5
M1200607434,IONIQ5
M1200607436,IONIQ5
M1200607440,IONIQ5
M1200607441,IONIQ5
M1200607442,IONIQ5
M1200607445,IONIQ5
M1200607446,IONIQ5
M1200607447,IONIQ5
M1200607449,IONIQ5
M1200607451,IONIQ5
M1200607453,IONIQ5
M1200607455,IONIQ5
M1200607456,IONIQ5
M1200607457,IONIQ5
M1200607458,IONIQ5
M1200607463,IONIQ5
M1200607465,IONIQ5
M1200607468,IONIQ5
M1200607469,IONIQ5
M1200607470,IONIQ5
M1200607471,IONIQ5
M1200607476,IONIQ5
M1200607478,IONIQ5
M1200607480,IONIQ5
M1200607484,IONIQ5
M1200607487,IONIQ5
M1200607488,IONIQ5
M1200607489,IONIQ5
M1200607490,IONIQ5
M1200607492,IONIQ5
M1200607493,IONIQ5
M1200607495,IONIQ5
M1200607496,IONIQ5
M1200607506,IONIQ5
M1200607508,IONIQ5
M1200607510,IONIQ5
M1200607512,IONIQ5
M1200607513,IONIQ5
M1200607514,IONIQ5
M1200607516,IONIQ5
M1200607517,IONIQ5
M1200607559,IONIQ5
M1200607563,IONIQ5
M1200607566,IONIQ5
M1200607568,IONIQ5
M2210703615,IONIQ5
M2210703616,IONIQ5
M2210703617,IONIQ5
M2210703618,IONIQ5
M2210703619,IONIQ5
M2210703620,IONIQ5
M2210703632,IONIQ5
M2210703633,IONIQ5
M2210703634,IONIQ5
M2210703635,IONIQ5
M2210703676,IONIQ5
M2210703677,IONIQ5
M2210703678,IONIQ5
M2210703680,IONIQ5
M2210703756,IONIQ5
M2210703758,IONIQ5
M2210703759,IONIQ5
M2210703761,IONIQ5
M2210703764,IONIQ5
M2210703765,IONIQ5
M2210703767,IONIQ5
M2210703768,IONIQ5
M2210703770,IONIQ5
M2210703771,IONIQ5
M2210703772,IONIQ5
M2210703773,IONIQ5
M2210703774,IONIQ5
M2210703775,IONIQ5
M2210703777,IONIQ5
M2210703778,IONIQ5
M2210703779,IONIQ5
M2210703780,IONIQ5
M2210703782,IONIQ5
M2210703784,IONIQ5
M2210703785,IONIQ5
M2210703786,IONIQ5
M2210703793,IONIQ5
M2210703796,IONIQ5
M2210703799,IONIQ5
M2210703850,IONIQ5
M2210703852,IONIQ5
M2210703853,IONIQ5
M2210703857,IONIQ5
M2210703859,IONIQ5
M2210703912,IONIQ5
M2210703913,IONIQ5
M2210703914,IONIQ5
M2210703917,IONIQ5
M2210703920,IONIQ5
M2210703921,IONIQ5
M2210703922,IONIQ5
M2210703923,IONIQ5
M2210703925,IONIQ5
M2210703926,IONIQ5
M2210703927,IONIQ5
M2210703929,IONIQ5
M2210703931,IONIQ5
M2210703970,IONIQ5
M2210704069,IONIQ5
M2210704070,IONIQ5
M2210704163,IONIQ5
M2211120837,IONIQ5
M2211120842,IONIQ5
M2211123064,IONIQ5
M2211123068,IONIQ5
M2211123070,IONIQ5
M2211123072,IONIQ5
M2211123073,IONIQ5
M2211123078,IONIQ5
M2211123079,IONIQ5
M2211123080,IONIQ5
M2211123081,IONIQ5
M2211123082,IONIQ5
M2211123084,IONIQ5
M2211123085,IONIQ5
M2211123086,IONIQ5
M2211123087,IONIQ5
M2211123088,IONIQ5
M2211123089,IONIQ5
M2211123090,IONIQ5
M2211123100,IONIQ5
M2211123102,IONIQ5
M2211123103,IONIQ5
M2211123104,IONIQ5
M2211123105,IONIQ5
M2211123106,IONIQ5
M2211123108,IONIQ5
M2211123110,IONIQ5
M2211123113,IONIQ5
M2211123117,IONIQ5
M2211123118,IONIQ5
M2211123119,IONIQ5
M2211123120,IONIQ5
M2211123121,IONIQ5
M2211123122,IONIQ5
M2211123123,IONIQ5
M2211123127,IONIQ5
M2211123140,IONIQ5
M2211123162,IONIQ5
M2211123168,IONIQ5
M2211123174,IONIQ5
M2211123185,IONIQ5
M1200606102,KONA
M1200606103,KONA
M1200606104,KONA
M1200606110,KONA
M1200606112,KONA
M1200606114,KONA
M1200606118,KONA
M1200606119,KONA
M1200606120,KONA
M1200606122,KONA
M1200606123,KONA
M1200606128,KONA
M1200606129,KONA
M1200606134,KONA
M1200606160,KONA
M1200606213,KONA
M1200606214,KONA
M1200607207,KONA
M1200607208,KONA
M1200606166,Niro EV
M1200606168,Niro EV
M1200606169,Niro EV
M1200606173,Niro EV
M1200606174,Niro EV
M1200606175,Niro EV
M1200606180,Niro EV
M1200606189,Niro EV
M1200606191,Niro EV
M1200606193,Niro EV
M1200606194,Niro EV
M1200606199,Niro EV
M1200606203,Niro EV
M1200606208,Niro EV
M1200606234,Niro EV
M1200606236,Niro EV
M1200606238,Niro EV
M1200606239,Niro EV
M1200606240,Niro EV
M1200606245,Niro EV
M1200606249,Niro EV
M1200606251,Niro EV
M1200606256,Niro EV
M1200606257,Niro EV
M1200606264,Niro EV
M1200606265,Niro EV
M1200606267,Niro EV
M1200606270,Niro EV
M1200606272,Niro EV
M1200606277,Niro EV
M1200606284,Niro EV
M1200606289,Niro EV
M1200606291,Niro EV
M1200606292,Niro EV
M1200607101,Niro EV
M1200607114,Niro EV
M1200607117,Niro EV
M1200607118,Niro EV
M1200607121,Niro EV
M1200607123,Niro EV
M1200607133,Niro EV
M1200607136,Niro EV
M1200607140,Niro EV
M1200607146,Niro EV
M1200607150,Niro EV
M1200607152,Niro EV
M1200607158,Niro EV
M1200607160,Niro EV
M1200607163,Niro EV
M1200607164,Niro EV
M1200607170,Niro EV
M1200607178,Niro EV
M1200607187,Niro EV
M1200607188,Niro EV
M1200607190,Niro EV
M1200607192,Niro EV
M1200607196,Niro EV
M1200607199,Niro EV
M1200607200,Niro EV
M1200607218,Niro EV
M1200607262,Niro EV
M1200607524,Niro EV
M1200607525,Niro EV
M1200607527,Niro EV
M1200607529,Niro EV
M1200607534,Niro EV
M1200607537,Niro EV
M1200607539,Niro EV
M1200607547,Niro EV
M1200607548,Niro EV
M1200607551,Niro EV
M1200607575,Niro EV
M1200607578,Niro EV
