car_id,charge_type,start_soc,end_soc,soc_quan,start_time,end_time,duration,duration_hour,lines,b_modul_1_temp_avg,b_modul_2_temp_avg,b_modul_3_temp_avg,b_modul_4_temp_avg,b_pack_current_avg,b_pack_volt_avg,source_path,car_type,fast_pack_current_ref,fast_modul_temp_ref,slow_pack_current_ref,slow_modul_temp_ref,fast_slope_1,fast_slope_2,fast_slope_3,slow_slope_1,slow_slope_2,slow_slope_3
M2211120390,slow,45.5,82.0,36.5,2023-06-30 23:44:37,2023-07-01 05:24:34,20397.0,5.6658333333333335,2118,30.99338999055713,33.901794145420205,29.953257790368273,31.840415486307837,-7.359678942398489,741.6541548630784,GV60/M2211120390.csv#segment_0,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.442123841741433,5.105268563924925,4.901324237709144
M2211120390,slow,35.5,89.5,54.0,2023-07-12 22:53:33,2023-07-13 07:03:44,29411.0,8.169722222222223,3265,31.22633996937213,33.693108728943336,30.060643185298623,31.57825421133231,-7.333598774885146,740.7398468606432,GV60/M2211120390.csv#segment_18,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.609771854068205,5.256754760334202,5.048474056483517
M2211120390,slow,57.5,80.5,23.0,2023-07-15 12:15:03,2023-07-15 15:48:49,12826.0,3.562777777777778,1242,27.359098228663445,28.97584541062802,26.338969404186795,27.01207729468599,-7.205877616747181,753.2494363929147,GV60/M2211120390.csv#segment_22,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.455636987369406,5.225172257489183,5.238545313994279
M2211120390,slow,65.5,96.0,30.5,2023-07-19 23:25:50,2023-07-20 07:15:55,28205.0,7.834722222222222,3102,29.910058027079305,32.13249516441006,28.81528046421663,29.892005157962604,-4.504352030947776,769.3788523533206,GV60/M2211120390.csv#segment_37,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,3.892926786030846,5.040716868187137,4.914193519278112
M2211120390,slow,52.0,90.0,38.0,2023-07-20 23:24:28,2023-07-21 08:34:32,33004.0,9.167777777777776,3496,30.221681922196797,32.51229977116705,28.9899885583524,30.299771167048053,-4.643907322654463,753.1353832951944,GV60/M2211120390.csv#segment_42,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,4.144952127014908,5.205762707304815,5.058517576764994
M2211120390,slow,33.5,92.5,59.0,2023-07-31 23:06:57,2023-08-01 08:18:56,33119.0,9.199722222222222,3510,31.236182336182335,33.406837606837605,30.01851851851852,31.20968660968661,-7.343618233618233,740.7505128205128,GV60/M2211120390.csv#segment_48,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.413237114647181,5.093491652840601,4.900429297260324
M2211120390,slow,25.0,87.5,62.5,2023-08-11 21:23:12,2023-08-12 08:02:50,38378.0,10.660555555555556,4187,30.423692381179844,32.946262240267494,29.28254119894913,30.935514688320993,-6.535228086935754,734.9878194411273,GV60/M2211120390.csv#segment_54,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.862733857939444,5.232242005043454,5.063786320794714
M2211120390,slow,64.0,87.5,23.5,2023-08-20 20:24:06,2023-08-21 02:12:24,20898.0,5.805,2322,31.34194659776055,32.90783807062877,29.94142980189492,30.534453057708873,-4.489621016365203,762.8489664082688,GV60/M2211120390.csv#segment_61,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,4.04823428079242,5.259014265583052,5.074739243480874
M2211120390,slow,28.5,46.0,17.5,2023-08-23 19:45:46,2023-08-24 00:06:02,15616.0,4.337777777777778,1682,27.498810939357902,29.43935790725327,26.681331747919145,27.905469678953622,-4.692092746730085,698.8714625445899,GV60/M2211120390.csv#segment_62,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,4.034323770491803,5.014787724368613,5.004567097727715
M2211120390,slow,46.5,79.0,32.5,2023-08-24 00:16:05,2023-08-24 08:32:48,29803.0,8.278611111111111,3229,29.833384948900587,32.15608547537938,28.85258593991948,30.025394859089506,-4.46314648497987,739.6552183338496,GV60/M2211120390.csv#segment_63,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,3.9257792839647014,5.130186233035583,4.999908745097659
