지표,v5_평균,v5_표준편차,v5_중앙값,v5_n,v6_평균,v6_표준편차,v6_중앙값,v6_n
Fast Degradation Rate 1 (기본),-23.92653465348503,50.35023720335068,-47.32789162266189,3,-52.8226368221533,7.770743182905218,-52.8226368221533,2
Fast Degradation Rate 2 (전류 보정),-10.797402387217813,14.823141693746743,-3.09217119013483,3,-15.489205889944742,17.532054605681047,-15.489205889944742,2
Fast Degradation Rate 3 (전류+온도 보정),-9.693651941955151,13.226515497857719,-2.7686954237662196,3,-13.856783964849985,15.680925195594368,-13.856783964849985,2
Slow Degradation Rate 1 (기본),-1.8495583245421068,7.231638637280598,0.9260146955340036,9,-0.13328415044234082,4.971553217045283,0.6636896496967664,6
Slow Degradation Rate 2 (전류 보정),0.682991915356415,1.635726198974186,0.4764035474798972,9,-0.007810035219554405,1.0352367109413754,0.1146085848001461,6
Slow Degradation Rate 3 (전류+온도 보정),-0.36312929260362625,2.844050212239607,-0.9552729052329304,9,-1.2771336873934864,2.7435603640477297,-2.082030275994646,6
